first_lat;first_lng;second_lat;second_lng;shared brands
57.0462626;9.9215263;50.776351;6.083862;1
56.1496278;10.2134046;50.776351;6.083862;1
48.3668041;10.8986971;50.776351;6.083862;1
41.1257843;16.8620293;50.776351;6.083862;1
47.5581077;7.5878261;50.776351;6.083862;2
60.3943055;5.3259192;50.776351;6.083862;2
52.5170365;13.3888599;50.776351;6.083862;2
46.9482713;7.4514512;50.776351;6.083862;2
50.735851;7.10066;50.776351;6.083862;2
44.841225;-0.5800364;50.776351;6.083862;2
48.1516988;17.1093063;50.776351;6.083862;1
53.0758196;8.8071646;50.776351;6.083862;2
50.8465573;4.351697;50.776351;6.083862;2
50.938361;6.959974;50.776351;6.083862;2
55.6867243;12.5700724;50.776351;6.083862;2
51.5142273;7.4652789;50.776351;6.083862;2
51.2254018;6.7763137;50.776351;6.083862;2
51.4582235;7.0158171;50.776351;6.083862;2
50.1106444;8.6820917;50.776351;6.083862;2
54.3706858;18.61298210330077;50.776351;6.083862;1
57.7072326;11.9670171;50.776351;6.083862;2
45.1875602;5.7357819;50.776351;6.083862;1
53.550341;10.000654;50.776351;6.083862;2
52.3744779;9.7385532;50.776351;6.083862;2
49.142291;9.218655;50.776351;6.083862;1
56.0442098;12.703706;50.776351;6.083862;2
60.1674881;24.9427473;50.776351;6.083862;2
57.7825634;14.165719;50.776351;6.083862;1
49.0068705;8.4034195;50.776351;6.083862;2
59.3809146;13.5027631;50.776351;6.083862;1
50.0619474;19.9368564;50.776351;6.083862;1
51.3406321;12.3747329;50.776351;6.083862;2
59.9559239;11.0491122;50.776351;6.083862;2
58.4098135;15.6245252;50.776351;6.083862;2
55.7029296;13.1929449;50.776351;6.083862;2
45.7578137;4.8320114;50.776351;6.083862;1
40.4167047;-3.7035825;50.776351;6.083862;1
36.7213028;-4.4216366;50.776351;6.083862;2
45.4641943;9.1896346;50.776351;6.083862;2
44.5384728;10.935960870530739;50.776351;6.083862;2
48.1371079;11.5753822;50.776351;6.083862;2
50.4665284;4.8661892;50.776351;6.083862;1
49.453872;11.077298;50.776351;6.083862;2
55.3997225;10.3852104;50.776351;6.083862;2
59.2747287;15.2151181;50.776351;6.083862;2
